order_id,exception_type,amount_at_risk,policy_decision,explanation,recommendation
de9330ec1dd0af0751b5c24b612917d0,SETTLEMENT_ANOMALY,19.38,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹19.38. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
bb1af69d9c3122c683d442d8af845410,REFUND_ORDER_MISMATCH,131.62,HUMAN_REVIEW,The merchant order indicates a cancellation while the expected refund of ₹131.62 has not completed. This may create an outstanding customer liability.,Verify refund processing status and investigate the outstanding refund.
6a5560b5b974183928205724063cdfa6,SETTLEMENT_ANOMALY,41.75,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹41.75. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
e0f57f06590a2aee981778faa5b7c80c,PAYMENT_ORDER_MISMATCH,425.94,HUMAN_REVIEW,"The payment of ₹425.94 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
5346a99f61d771b889336c4a2c14e0b9,PAYMENT_ORDER_MISMATCH,74.72,HUMAN_REVIEW,"The payment of ₹74.72 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
0bcc4cc85c24f23e22013fd22f99728f,PAYMENT_ORDER_MISMATCH,195.0,HUMAN_REVIEW,"The payment of ₹195.00 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
f489949dbe23cf9313deb342913ece0c,REFUND_ORDER_MISMATCH,1436.46,HUMAN_REVIEW,The merchant order indicates a cancellation while the expected refund of ₹1436.46 has not completed. This may create an outstanding customer liability.,Verify refund processing status and investigate the outstanding refund.
5a911c89527605e73569727488b5468d,PAYMENT_ORDER_MISMATCH,120.22,HUMAN_REVIEW,"The payment of ₹120.22 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
8bde999dc4ad8ff2e39ca01c02a81119,PAYMENT_ORDER_MISMATCH,55.11,HUMAN_REVIEW,"The payment of ₹55.11 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
431edc9c63424518da8f273659cafa77,PAYMENT_ORDER_MISMATCH,122.92,HUMAN_REVIEW,"The payment of ₹122.92 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
